"","Year","Operational.Demand..MW.","Index"
"887",2018,2675.348,887
"888",2018,2674.852,888
"889",2018,2674.342,889
"890",2018,2674.202,890
"891",2018,2673.628,891
"892",2018,2673.104,892
"893",2018,2672.138,893
"894",2018,2672.016,894
"895",2018,2671.968,895
"896",2018,2671.918,896
"897",2018,2671.552,897
"898",2018,2671.446,898
"899",2018,2671.374,899
"900",2018,2670.882,900
"901",2018,2670.48,901
"902",2018,2670.352,902
"903",2018,2670.194,903
"904",2018,2670.016,904
"905",2018,2669.9,905
"906",2018,2669.212,906
"907",2018,2669.184,907
"908",2018,2669.096,908
"909",2018,2668.614,909
"910",2018,2668.256,910
"911",2018,2668.046,911
"912",2018,2667.754,912
"913",2018,2667.63,913
"914",2018,2667.268,914
"915",2018,2667.078,915
"916",2018,2666.614,916
"917",2018,2666.492,917
"918",2018,2666.002,918
"919",2018,2665.94,919
"920",2018,2665.604,920
"921",2018,2665.432,921
"922",2018,2665.138,922
"923",2018,2664.744,923
"924",2018,2664.6,924
"925",2018,2664.286,925
"926",2018,2664.044,926
"927",2018,2663.188,927
"928",2018,2663.178,928
"929",2018,2662.862,929
"930",2018,2662.108,930
"931",2018,2662.106,931
"932",2018,2662.074,932
"933",2018,2662.068,933
"934",2018,2662.008,934
"935",2018,2661.81,935
"936",2018,2661.054,936
"937",2018,2660.438,937
"938",2018,2660.11,938
"939",2018,2660.102,939
"940",2018,2659.844,940
"941",2018,2659.826,941
"942",2018,2659.658,942
"943",2018,2659.446,943
"944",2018,2659.398,944
"945",2018,2659.314,945
"946",2018,2659.296,946
"947",2018,2659.076,947
"948",2018,2659.068,948
"949",2018,2658.994,949
"950",2018,2658.3,950
"951",2018,2658.128,951
"952",2018,2657.888,952
"953",2018,2657.808,953
"954",2018,2657.506,954
"955",2018,2657.5,955
"956",2018,2657.498,956
"957",2018,2657.274,957
"958",2018,2657.178,958
"959",2018,2657.162,959
"960",2018,2657.108,960
"961",2018,2656.992,961
"962",2018,2656.924,962
"963",2018,2656.754,963
