DateTime,energyInjectionCapacity,energyWithdrawalCapacity,contingencyRaise,contingencyLower,regulationRaise,regulationLower,rocof
2023-09-29T08:00:00Z,1011.871,0,168.713,23.089,110,110,17029.977
2023-09-29T08:00:00Z,1083.679,0,167.216,92,109.999,110,17018.334
2023-09-29T08:00:00Z,1138.778,0,167.152,93,110,110,17016.029
2023-09-29T08:00:00Z,1209.959,0,167.117,89.833,110.002,110,17013.938
2023-09-29T08:00:00Z,1313.73,0,167.411,85.217,110.002,110,17007.806
2023-09-29T08:00:00Z,1398.058,0,167.068,80.278,109.998,110,17006.242
2023-09-29T08:00:00Z,1522.801,0,179.769,76.93,109.999,110,16753.749
2023-09-29T08:00:00Z,1694.914,0,201.318,73.932,110.002,110,16986.343
2023-09-29T08:00:00Z,1887.976,0,278.059,68.204,110,110,18998.388
2023-09-29T08:00:00Z,2110.074,0,280.284,61.464,110.001,110,20248.383
2023-09-29T08:00:00Z,2313.428,0,264.434,55.378,109.999,110,20988.044
2023-09-29T08:00:00Z,2456.755,0,266.758,51.381,110,110,20994.63
2023-09-29T08:00:00Z,2548.49,0,257.941,50.186,110,110,20993.4
2023-09-29T08:00:00Z,2550.352,0,257.941,48.119,110.001,110,21000.384
2023-09-29T08:00:00Z,2485.002,0,254.158,49.398,110.001,110,21004.827
2023-09-29T08:00:00Z,2422.983,0,254.126,49.559,110.002,109.999,21009.846
2023-09-29T08:00:00Z,2355.287,0,245.704,49.919,109.999,110,21009.846
2023-09-29T08:00:00Z,2272.631,0,265.726,51.799,65.002,65,21043.399
2023-09-29T08:00:00Z,2179.757,0,282.128,56.035,65,65,20297.802
2023-09-29T08:00:00Z,2085.256,0,281.479,60.329,64.999,65,20547.8
2023-09-29T08:00:00Z,1998.48,0,288.896,63.353,65,65,19551.825
2023-09-29T08:00:00Z,1926.512,0,230.361,65.861,65.002,65,19555.88
2023-09-29T08:00:00Z,1868.083,0,193.432,67.897,65.001,65.001,19553.785
2023-09-29T08:00:00Z,1821.287,0,184.917,69.529,64.999,65,19541.418
2023-09-29T08:00:00Z,1779.944,0,150.165,69.969,65.001,65,18292.951
